[55.835407,37.403072]
[55.075296,37.839548]
[55.72264,37.445201] 
[55.741825,37.558461]
[55.126838,37.556697]
[55.90604,37.535811] 
[55.624561,37.642848]
[55.826812,37.491428]
[55.121848,38.165673]
[55.508228,37.567951]
[55.920271,37.764983]
[55.537139,37.539886]
[55.881420,37.650444]
[55.502571,37.555000]
[55.485195,37.562385]
[55.623161,37.742271]
[55.645446,37.718373]
[55.109401,37.944858]
[55.485366,37.559547]
[55.629201,37.657221]
[55.679420,37.700000]
[55.74241,37.694478] 
[55.705823,37.619143]
[55.596031,37.357651]
[55.566852,37.605739]
[55.075231,37.83956] 
[55.858833,37.494343]
[55.813215,37.525766]
[55.901265,37.627988]
[55.76796,37.369563] 
[55.881156,37.651607]
[55.917522,37.564102]
[55.835433,37.403121]
[55.566852,37.605773]
[55.78939,37.49364]  
[55.711971,37.838441]
[55.672448,37.557118]
[55.777203,37.84431] 
[55.484230,37.562309]
[55.91512,37.758266] 
[55.659912,37.587738]
[55.608268,37.579875]
[55.704891,37.662399]
[56.301713,38.146911]
[55.667495,37.437946]
[55.835407,37.403091]
[55.567489,37.599075]
[55.679508,37.684761]
[55.566837,37.605785]
[55.838665,37.194135]
[55.665278,37.724481]
[55.776481,37.534046]
[55.838021,37.19439] 
[55.614337,37.744297]
[55.845798,38.99776] 
[55.881061,37.650127]
[55.905991,37.53585] 
[55.484790,37.556648]
[56.301241,38.144265]
[55.736568,37.539261]
[55.546981,37.585483]
[55.663688,37.590538]
[55.732875,37.641101]
[55.6601,37.5505]    
[55.129635,37.952355]
[55.485214,37.557235]
[55.78872,38.969293] 
[55.783771,37.665921]
[55.705585,37.617455]
[55.873391,37.124495]
[55.709651,37.633841]
[55.661380,37.621685]
[55.617088,37.657383]
[55.673033,37.91391] 
[55.570011,38.915923]
[55.672965,37.913925]
[55.65009,37.75931]  
[55.68264,37.724243] 
[55.802663,37.780418]
[55.780911,37.623293]
[55.662067,37.633773]
[55.661380,37.621685]
[55.566886,37.605842]
[55.881168,37.651596]
[55.681526,37.418]   
[55.740345,37.563871]
[55.673033,37.91391] 
[55.599898,37.482551]
[55.677213,37.729301]
[55.138953,37.935165]
[55.561302,37.669921]
[56.13855,37.9331]   
[55.815141,37.522448]
[55.566299,37.604610]
[55.648536,37.407707]
[55.151473,37.463111]
[55.880958,37.650146]
[55.788668,38.969305]
[55.571493,37.494945]
[55.907497,37.415714]
[55.739721,37.550366]
[55.618323,37.734718]
[55.377857,37.534866]
[55.800003,37.840473]
[55.65948,37.752078] 
[55.900983,37.628365]
[55.482700,37.562820]
[56.301785,38.163256]
[55.594856,37.658531]
[55.533237,37.581638]
[55.612086,37.539011]
[55.749666,38.541635]
[55.788128,37.684278]
[55.624565,37.642807]
[55.712188,37.82002] 
[55.648863,37.745305]
[55.645011,37.619434]
[55.78872,38.969293] 
[55.685745,37.675678]
[55.645645,37.543785]
[55.596141,37.654961]
[55.91499,37.772271] 
[55.486198,37.557659]
[55.673233,37.489311]
[55.906046,37.53577] 
[55.900983,37.628365]
[55.777306,37.639938]
[55.730773,37.408573]
[55.679580,37.700702]
[55.485179,37.557235]
[55.664009,37.607959]
[55.635074,37.622905]
[55.853561,37.680255]
[55.915226,37.758161]
[55.90604,37.535811] 
[55.65499,37.557053] 
[55.67305,37.91396]  
[55.835727,37.403419]
[55.810615,37.81308] 
[55.075253,37.839501]
[55.566829,37.605838]
[55.891741,37.743906]
[55.64075,37.458265] 
[55.78315,37.65601]  
[55.484081,37.562484]
[55.484050,37.559917]
[55.59609,37.654761] 
[55.621452,37.671394]
[55.075228,37.839601]
[55.316421,37.525779]
[55.679485,37.699031]
[55.575225,37.613243]
[55.900638,37.629665]
[55.566814,37.605735]
[55.742245,37.694363]
[55.679588,37.700248]
[55.899835,37.631155]
[55.905533,37.536483]
[55.504280,37.573162]
[55.812641,37.399073]
[55.801136,37.548206]
[55.541675,37.154605]
[55.872360,37.652141]
[55.07525,37.839481] 
[55.673492,37.489112]
[55.900459,37.631134]
[55.636760,37.619689]
[55.910377,37.568347]
[55.627121,37.742405]
[55.703373,37.658678]
[55.573406,37.580146]
[55.765968,37.537393]
[55.899926,37.630888]
[55.255751,38.51723] 
[55.577415,37.572502]
[55.566276,37.604610]
[55.676373,37.853753]
[55.73303,37.699866] 
[55.982936,37.418468]
[55.864328,37.760966]
[55.611206,37.597858]
[55.002246,37.222446]
[55.659825,37.933963]
[55.483131,37.559570]
[56.025041,37.481843]
[55.617986,37.69079] 
[55.794103,37.933155]
[55.835433,37.403118]
[56.026186,37.478198]
[55.624481,37.642871]
[55.815195,37.522493]
[55.484855,37.556930]
[55.489185,37.441818]
[55.484733,37.557060]
[55.663200,37.839374]
[55.812595,37.527073]
[55.741628,37.558385]
[55.807593,37.573631]
[55.638935,37.689361]
[55.678611,37.664916]
[55.81332,37.523138] 
[55.679477,37.699489]
[55.673845,37.299203]
[55.67299,37.913966] 
[55.835781,37.403247]
[55.784126,37.660173]
[55.842081,38.966841]
[55.811896,37.526268]
[55.879634,37.645450]
[55.611286,37.609653]
[55.593204,37.729347]
[55.73301,37.700033] 
[55.173011,38.379586]
[55.076745,37.94344] 
[56.026376,37.470253]
[55.684563,37.737691]
[55.704923,37.588455]
[55.775555,38.973903]
[55.778173,37.447633]
[56.024986,37.481705]
[55.881168,37.650459]
[55.901086,37.628386]
[55.638835,37.379707]
[55.828335,38.26074] 
[55.566829,37.605785]
[55.677213,37.729301]
[55.663583,37.727446]
[55.835685,37.403331]
[55.460227,37.559085]
[55.484928,37.562416]
[55.636741,37.649597]
[55.664394,37.549114]
[55.604370,37.500102]
[55.614997,37.714160]
[55.835563,37.403263]
[55.881443,37.649749]
[55.679523,37.701393]
[55.677213,37.729301]
[55.880939,37.650127]
[55.578525,37.666061]
[55.673175,37.489360]
[55.484870,37.562305]
[55.905385,37.536398]
[55.915226,37.758161]
[55.909805,37.587890]
[55.905448,37.536435]
[55.679550,37.701450]
[55.627960,37.617740]
[55.075246,37.839411]
